"meta:instanceID","sensornumber","location:Latitude","location:Longitude","location:Altitude","location:Accuracy","direction","sunorshade","attachment","landcoverclass","picture","time","notes"
"uuid:5e23c88a-f2ce-4202-82e8-b2f796108317","11","-1.3193200000","36.7786500000","1768.8000000000","4.2000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A5e23c88a-f2ce-4202-82e8-b2f796108317%5D%2Fpicture","Wed Dec 02 10:41:38 UTC 2015","Raila  village library"
"uuid:860db815-fe48-4a3e-8943-ba4dfdf9cb75","3","-1.3100200000","36.7732633333","1776.1000000000","5.0000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A860db815-fe48-4a3e-8943-ba4dfdf9cb75%5D%2Fpicture","Wed Dec 02 11:27:27 UTC 2015","Track fit kinyozi bombolulu"
"uuid:de31510f-406b-4cb7-a374-8b1c4cd69a00","32","-1.3041533333","36.7678616667","1786.3000000000","4.6000000000","0","partial","tree","soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ade31510f-406b-4cb7-a374-8b1c4cd69a00%5D%2Fpicture","Wed Dec 02 12:26:24 UTC 2015","Canaan hotel kibra tree"
"uuid:d2a4ebf5-6371-4a72-b335-29e24e4027fa","10","-1.3012583333","36.7595366667","1792.2000000000","3.8000000000","0","partial","wood","grass","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad2a4ebf5-6371-4a72-b335-29e24e4027fa%5D%2Fpicture","Wed Dec 02 14:01:35 UTC 2015","Met observatory"
"uuid:9046f03a-bfac-4a89-b179-26ad79523181","14","-1.3093700000","36.7918366667","1714.0000000000","4.9000000000","0","partial","tree","impervious soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A9046f03a-bfac-4a89-b179-26ad79523181%5D%2Fpicture","Thu Dec 03 10:31:26 UTC 2015","Humid area hidden under a tree/kikocep"
"uuid:cb291b3a-5cc8-436a-878c-70ad06898c18","12","-1.3176650000","36.7974783333","1732.1000000000","4.9000000000","0","partial","tree","soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acb291b3a-5cc8-436a-878c-70ad06898c18%5D%2Fpicture","Thu Dec 03 12:45:53 UTC 2015","PCEA SILANGA SCHOOL BEHIND THE OFFICES"
"uuid:68e692a5-edc3-4402-bfff-6fa99171d72c","16","-1.3109500000","36.7948750000","1732.4000000000","4.8000000000","0","shade","tree","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A68e692a5-edc3-4402-bfff-6fa99171d72c%5D%2Fpicture","Thu Dec 03 12:14:39 UTC 2015","Robin church of God"
"uuid:15591746-6f0d-478c-b245-3142597fcd65","19","-1.3119933333","36.7981666667","1665.8000000000","4.8000000000","0","partial","metal","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A15591746-6f0d-478c-b245-3142597fcd65%5D%2Fpicture","Thu Dec 03 12:44:43 UTC 2015","Stall mama kamau rooftop"
"uuid:dbcba5e0-7bac-40a3-89fc-b44d01d217c4","26","-1.3115700000","36.7922483333","1711.6000000000","4.7000000000","0","partial","wood","soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adbcba5e0-7bac-40a3-89fc-b44d01d217c4%5D%2Fpicture","Thu Dec 03 13:11:43 UTC 2015","Mashimoni/Vinny place upper"
"uuid:bf5343c4-d4d5-4a5b-8542-2dc30fb86ce9","20","-1.3119383333","36.7849616667","1765.9000000000","4.9000000000","0","partial","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abf5343c4-d4d5-4a5b-8542-2dc30fb86ce9%5D%2Fpicture","Thu Dec 03 13:40:24 UTC 2015","Richards place"
"uuid:2bb2ed71-85cf-4e4c-b928-70eba3315384","5","-1.3085733333","36.7813733333","1765.0000000000","4.5000000000","180","partial","metal","soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2bb2ed71-85cf-4e4c-b928-70eba3315384%5D%2Fpicture","Thu Dec 03 14:07:35 UTC 2015","Rose place makaa"
"uuid:401e5e13-e97f-4bce-a703-1c7435d33f6f","35","-1.3126066667","36.7807666667","1755.4000000000","5.0000000000","0","shade","tree","grass","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A401e5e13-e97f-4bce-a703-1c7435d33f6f%5D%2Fpicture","Thu Dec 03 14:31:57 UTC 2015","Olimpic mwalimus place"
"uuid:7ddc411e-a9c8-4440-bad5-42e5b4e7862d","18","-1.2741132400","36.8086944800","1673.0000000000","3.0000000000","0","partial","wood","grass","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7ddc411e-a9c8-4440-bad5-42e5b4e7862d%5D%2Fpicture","Tue Dec 08 04:46:24 UTC 2015","Chiromo campus met observatory"
"uuid:3f0322d9-13f5-44e3-ae71-2e863ad69438","40","-1.2620366667","36.8652783333","1654.5000000000","5.0000000000","0","shade","metal","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A3f0322d9-13f5-44e3-ae71-2e863ad69438%5D%2Fpicture","Tue Dec 08 07:39:31 UTC 2015","Kwa chief"
"uuid:584fae3b-4d54-4f71-8474-267150623810","44","-1.2652283333","36.8570683333","1622.8000000000","4.9000000000","0","partial","wood","soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A584fae3b-4d54-4f71-8474-267150623810%5D%2Fpicture","Tue Dec 08 08:45:47 UTC 2015","Air force kwa mathe"
"uuid:a92d8f8c-f0e3-469b-ad33-5d78a2a28c22","15","-1.2639583333","36.8574883333","1655.6000000000","4.5000000000","0","shade","wood","soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa92d8f8c-f0e3-469b-ad33-5d78a2a28c22%5D%2Fpicture","Tue Dec 08 15:16:30 UTC 2015","Math are 4b kwa jully"
"uuid:601f4a20-2c1d-4d38-a59e-d90b06ff1f2f","28","-1.2628033333","36.8576733333","1759.8000000000","5.0000000000","0","partial","wood","soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A601f4a20-2c1d-4d38-a59e-d90b06ff1f2f%5D%2Fpicture","Tue Dec 08 09:26:14 UTC 2015","Mradi kwa akina yvonne"
"uuid:893a9162-53c1-4600-97e0-b3c6e269b36e","48","-1.2608316667","36.8598683333","1645.8000000000","5.0000000000","0","partial","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A893a9162-53c1-4600-97e0-b3c6e269b36e%5D%2Fpicture","Tue Dec 08 09:50:26 UTC 2015","Facing down kwa oti"
"uuid:0cad868e-747c-45fe-8ba9-fc0ec6568e07","45","-1.2525883333","36.8729100000","1665.7000000000","4.6000000000","180","shade","wood","soil","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0cad868e-747c-45fe-8ba9-fc0ec6568e07%5D%2Fpicture","Tue Dec 08 10:51:23 UTC 2015","Mathare area one shop facing south"
